Tweet ID , Tweet Retweet count , Tweet Fav count , Tweet Text , Tweet Date , Tweet Time , Tweet Sensitivity , Tweet Verified User , Tweet Followers count , Favorited , Retweeted,Tweet ID ^ Tweet Retweet count ^ Tweet Fav count ^ Tweet Text ^ Tweet Date ^ Tweet Time ^ Tweet Sensitivity ^ Tweet Verified User ^ Tweet Followers count ^ Favorited ^ Retweeted
1068369075825340000,0,FALSE,cisco webex meetings installed (windows) nessus,11/30/2018,5:00:11,FALSE,FALSE,11048,FALSE,FALSE,
1068369651124580000,1,FALSE,a case study - exploring the aci common pervasive gateway feature @  aci cisco,11/30/2018,5:02:28,FALSE,FALSE,32,FALSE,FALSE,1068369075825340416^0^False^'cisco webex meetings installed (windows) nessus'^2018-11-30^05:00:11^False^False^11048^False^False
1068369839729850000,1,FALSE,rt @unofficialaci: a case study - exploring the aci common pervasive gateway feature @  a,11/30/2018,5:03:13,FALSE,FALSE,169,FALSE,FALSE,
1068372679760240000,0,FALSE,mg motor india announced partnership with cisco iot and unlimit   to develop connectedmobility enabled vehicles t,11/30/2018,5:14:30,None,FALSE,91,FALSE,FALSE,1068369651124584448^1^False^'a case study - exploring the aci common pervasive gateway feature @  aci cisco'^2018-11-30^05:02:28^False^False^32^False^False
1068374832847430000,6,FALSE,rt @patriotnews: cronin juststated that cisco has committed millions of $$$$ of effort towards this partnership  along with vetting the e,11/30/2018,5:23:04,None,FALSE,8,FALSE,FALSE,
1068375538845140000,2,FALSE,rt @realnetcoro: check out our latest cisco sd-wan workshop brochure! follow us on linkedin and twitter for the latest on upcoming training,11/30/2018,5:25:52,None,FALSE,13,FALSE,FALSE,1068369839729856517^1^False^'rt @unofficialaci: a case study - exploring the aci common pervasive gateway feature @  a'^2018-11-30^05:03:13^False^False^169^False^False
1068377169301290000,0,FALSE,cisco fixes  vulnerability in the web framework code of cisco prime license manager that could allow an attacker,11/30/2018,5:32:21,FALSE,FALSE,536,FALSE,FALSE,
1068378651245370000,0,FALSE,when you shutdown the wrong interface[upside-down face] labeveryday cisco @learningatcisco networkingfortheculture,11/30/2018,5:38:14,FALSE,FALSE,287,FALSE,FALSE,1068372679760244737^0^False^'mg motor india announced partnership with cisco iot and unlimit   to develop connectedmobility enabled vehicles t'^2018-11-30^05:14:30^None^False^91^False^False
1068379872081390000,34,FALSE,rt @wearecisco: wearecisco and were [black rightwards arrow][?] top two [leftwards black arrow][?] on @fortunemagazine 's  best workplaces for parents list   to all the cisconian fami',11/30/2018,5:43:05,None,FALSE,11,FALSE,FALSE,
1068379878649740000,2,FALSE,hcltechnologies receives cisco  award for excellence in software and cloud,11/30/2018,5:43:07,FALSE,FALSE,321,FALSE,FALSE,1068374832847433728^6^False^'rt @patriotnews: cronin juststated that cisco has committed millions of $$$$ of effort towards this partnership  along with vetting the e'^2018-11-30^05:23:04^None^False^8^False^False
1068379964859240000,2,FALSE,rt @itvoicenews: hcltechnologies receives cisco  award for excellence in software and cloud @hcltech via @,11/30/2018,5:43:27,FALSE,FALSE,22196,FALSE,FALSE,
1068384127794070000,0,FALSE, best it training certification courses    ai analytics iot bi amazon aws,11/30/2018,6:00:00,FALSE,FALSE,24912,FALSE,FALSE,1068375538845147136^2^False^'rt @realnetcoro: check out our latest cisco sd-wan workshop brochure! follow us on linkedin and twitter for the latest on upcoming training'^2018-11-30^05:25:52^None^False^13^False^False
1068384153727450000,2,FALSE,rt @itvoicenews: hcltechnologies receives cisco  award for excellence in software and cloud @hcltech via @,11/30/2018,6:00:06,FALSE,FALSE,374,FALSE,FALSE,
1068384377770550000,0,FALSE,latest cisco  citrix  vmware  microsoft news on the go - new iphone app! cisco citrix microsoft vmware,11/30/2018,6:00:59,FALSE,FALSE,8660,FALSE,FALSE,1068377169301291010^0^False^'cisco fixes  vulnerability in the web framework code of cisco prime license manager that could allow an attacker'^2018-11-30^05:32:21^False^False^536^False^False
1068384961072250000,0,FALSE,are you looking for breaking stereotypes and inspiring a new generation by fulfilling your potential? we can learn,11/30/2018,6:03:19,FALSE,FALSE,1384,FALSE,FALSE,
1068388583755640000,3,FALSE,rt @mobile_it_guy: here @roundtowertech building  sites of nutanix clusters cisco tor switches roundtower offers staging configur,11/30/2018,6:17:42,None,FALSE,4531,FALSE,FALSE,1068378651245375489^0^False^'when you shutdown the wrong interface[upside-down face] labeveryday cisco @learningatcisco networkingfortheculture'^2018-11-30^05:38:14^False^False^287^False^False
1068425009138320000,3,FALSE,rt @ramonmikeg: cisco ccnp - chapter @learningatcisco great material and great deal from cyber monday  learning the foundation to,11/30/2018,8:42:27,None,FALSE,10,FALSE,FALSE,
1068425489688050000,0,FALSE,want to see how sdwan actually works? check out our demo displaying how cisco vmanage provides full control over,11/30/2018,8:44:21,TRUE,FALSE,246,FALSE,FALSE,1068379872081399808^34^False^'rt @wearecisco: wearecisco and we're [black rightwards arrow][?] top two [leftwards black arrow][?] on @fortunemagazine 's  best workplaces for parents list   to all the cisconian fami'^2018-11-30^05:43:05^None^False^11^False^False
1068427644931200000,4,FALSE,rt @silviakspiva: throwbackthursday with the godfatherofprogrammability jason gooley!   teamdevnet teamgsd dev,11/30/2018,8:52:55,FALSE,FALSE,10,FALSE,FALSE,
1068429430559660000,0,FALSE, innovation principles that drive success and social impact from our partners at cisco my favorite is listening,11/30/2018,9:00:01,FALSE,FALSE,65,FALSE,FALSE,1068379878649749504^2^False^'hcltechnologies receives cisco  award for excellence in software and cloud'^2018-11-30^05:43:07^False^False^321^False^False
1068429544003000000,0,FALSE,migrating from g network to g or g network has become the new trend for data centers see how,11/30/2018,9:00:28,FALSE,FALSE,1383,FALSE,FALSE,
1068431351123190000,0,FALSE,initial patch for webex meetings flaw webexec was incomplete cisco fixed it again securityaffairs,11/30/2018,9:07:39,FALSE,FALSE,26128,FALSE,FALSE,1068379964859248645^2^False^'rt @itvoicenews: hcltechnologies receives cisco  award for excellence in software and cloud @hcltech via @'^2018-11-30^05:43:27^False^False^22196^False^False
1068431472879690000,0,FALSE,initial patch for webex meetings flaw webexec was incomplete cisco fixed it again  securityaffairs,11/30/2018,9:08:08,FALSE,FALSE,26128,FALSE,FALSE,
1068434167405450000,0,FALSE,heres how corporate boards can be more proactive mitigating cyberrisks from @harrybroadman  via @forbes',11/30/2018,9:18:50,FALSE,FALSE,1837,FALSE,FALSE,1068384127794077696^0^False^' best it training certification courses    ai analytics iot bi amazon aws'^2018-11-30^06:00:00^False^False^24912^False^False
1068435897677310000,5,FALSE,rt @ciscodcloud: the latest version of the dcloud event scheduler offers increased capacity ( sessions/event)  decreased approval times ,11/30/2018,9:25:43,None,FALSE,10,FALSE,FALSE,
1068436417729170000,39,FALSE,rt @wearecisco: wearecisco and were [black rightwards arrow][?] top two [leftwards black arrow][?] on @fortunemagazine 's  best workplaces for parents list   to all the cisconian fami',11/30/2018,9:27:47,None,FALSE,69,FALSE,FALSE,1068384153727455232^2^False^'rt @itvoicenews: hcltechnologies receives cisco  award for excellence in software and cloud @hcltech via @'^2018-11-30^06:00:06^False^False^374^False^False
1068437784136940000,5,FALSE,rt @ciscodevnet: devnetcreate is for developers  by developers    cfp closes  november    so if you have any q,11/30/2018,9:33:13,FALSE,FALSE,2541,FALSE,FALSE,
1068438793768830000,0,FALSE,cisco ckx-nm-g network module xgb + x/gb ports catalyst -x / -x ps,11/30/2018,9:37:13,FALSE,FALSE,307,FALSE,FALSE,1068384377770557442^0^False^'latest cisco  citrix  vmware  microsoft news on the go - new iphone app! cisco citrix microsoft vmware'^2018-11-30^06:00:59^False^False^8660^False^False
1068440166753280000,6,FALSE,rt @stpiindia: techmahindra  cisco launch digital experience center in bengaluru @cisco @cisco_in stpiindia @omkar_raii,11/30/2018,9:42:41,FALSE,FALSE,74,FALSE,FALSE,
1068440759060150000,6,FALSE,rt @stpiindia: techmahindra  cisco launch digital experience center in bengaluru @cisco @cisco_in stpiindia @omkar_raii,11/30/2018,9:45:02,FALSE,FALSE,160,FALSE,FALSE,1068384961072254976^0^False^'are you looking for breaking stereotypes and inspiring a new generation by fulfilling your potential? we can learn'^2018-11-30^06:03:19^False^False^1384^False^False
1068441633153260000,0,FALSE,patriot one martin cronin stated in the company update yesterday that international defence contractor wants deal c,11/30/2018,9:48:30,None,FALSE,1174,FALSE,FALSE,
1068442210549590000,39,FALSE,rt @wearecisco: wearecisco and were [black rightwards arrow][?] top two [leftwards black arrow][?] on @fortunemagazine 's  best workplaces for parents list   to all the cisconian fami',11/30/2018,9:50:48,None,FALSE,892,FALSE,FALSE,1068388583755649024^3^False^'rt @mobile_it_guy: here @roundtowertech building  sites of nutanix clusters cisco tor switches roundtower offers staging configur'^2018-11-30^06:17:42^None^False^4531^False^False
1068442571251300000,0,FALSE,our cisco team in dubai celebrates uae national day,11/30/2018,9:52:14,FALSE,FALSE,539,FALSE,FALSE,
1068443863440800000,1,FALSE,rt @cheer: migrating from g network to g or g network has become the new trend for data centers see how,11/30/2018,9:57:22,FALSE,FALSE,85,FALSE,FALSE,1068425009138327552^3^False^'rt @ramonmikeg: cisco ccnp - chapter @learningatcisco great material and great deal from cyber monday  learning the foundation to'^2018-11-30^08:42:27^None^False^10^False^False
1068444089622770000,0,FALSE,want to see how sdwan actually works? check out the demo displaying how cisco vmanage provides full control over,11/30/2018,9:58:16,FALSE,FALSE,1385,FALSE,FALSE,
1068445932583230000,4,FALSE, best it training certification courses   ai analytics iot bi amazon aws tech,11/30/2018,10:05:35,FALSE,FALSE,24916,FALSE,FALSE,1068425489688055809^0^False^'want to see how sdwan actually works? check out our demo displaying how cisco vmanage provides full control over'^2018-11-30^08:44:21^True^False^246^False^False
1068446049856030000,4,FALSE,rt @ahmedjr_:  best it training certification courses   ai analytics iot bi amazon aws tech ccna ,11/30/2018,10:06:03,FALSE,FALSE,428,FALSE,FALSE,
1068446289480670000,4,FALSE,rt @ahmedjr_:  best it training certification courses   ai analytics iot bi amazon aws tech ccna ,11/30/2018,10:07:00,FALSE,FALSE,163,FALSE,FALSE,1068427644931203074^4^False^'rt @silviakspiva: throwbackthursday with the godfatherofprogrammability jason gooley!   teamdevnet teamgsd dev'^2018-11-30^08:52:55^False^False^10^False^False
1068446842906710000,4,FALSE,rt @ahmedjr_:  best it training certification courses   ai analytics iot bi amazon aws tech ccna ,11/30/2018,10:09:12,FALSE,FALSE,5429,FALSE,FALSE,
1068446967188120000,4,FALSE,rt @ahmedjr_:  best it training certification courses   ai analytics iot bi amazon aws tech ccna ,11/30/2018,10:09:42,FALSE,FALSE,662,FALSE,FALSE,1068429430559662080^0^False^' innovation principles that drive success and social impact from our partners at cisco my favorite is listening'^2018-11-30^09:00:01^False^False^65^False^False
1068448367146090000,5,FALSE,rt @cisco: wouldnt it be sweet if your sdwan could secure and control all the pieces of your network? kick back and relax with cisco s',11/30/2018,10:15:16,None,FALSE,574,FALSE,FALSE,
1068451413569620000,15,FALSE,rt @ahmedjr_:  best it training certification courses   ai analytics iot bi amazon aws tech ccna ,11/30/2018,10:27:22,FALSE,FALSE,2980,FALSE,FALSE,1068429544003002368^0^False^'migrating from g network to g or g network has become the new trend for data centers see how'^2018-11-30^09:00:28^False^False^1383^False^False
1068452028085600000,15,FALSE,rt @ahmedjr_:  best it training certification courses   ai analytics iot bi amazon aws tech ccna ,11/30/2018,10:29:49,FALSE,FALSE,4327,FALSE,FALSE,
1068452066211880000,0,FALSE,wouldnt it be sweet if your sdwan could secure and control all the pieces of your network? kick back and relax w',11/30/2018,10:29:58,FALSE,FALSE,109,FALSE,FALSE,1068431351123193857^0^False^'initial patch for webex meetings flaw webexec was incomplete cisco fixed it again securityaffairs'^2018-11-30^09:07:39^False^False^26128^False^False
1068452236680930000,8,FALSE,rt @stpiindia: techmahindra  cisco launch digital experience center in bengaluru @cisco @cisco_in stpiindia @omkar_raii,11/30/2018,10:30:38,FALSE,FALSE,103,FALSE,FALSE,
1068453267947070000,15,FALSE,rt @ahmedjr_:  best it training certification courses   ai analytics iot bi amazon aws tech ccna ,11/30/2018,10:34:44,FALSE,FALSE,2101,FALSE,FALSE,1068431472879693824^0^False^'initial patch for webex meetings flaw webexec was incomplete cisco fixed it again  securityaffairs'^2018-11-30^09:08:08^False^False^26128^False^False
1068453450483140000,0,FALSE,cisco ccent / icnd (-) + bonus: the complete course [white right pointing index] cisco ccna,11/30/2018,10:35:28,FALSE,FALSE,82,FALSE,FALSE,
1068456354573100000,15,FALSE,rt @ahmedjr_:  best it training certification courses   ai analytics iot bi amazon aws tech ccna ,11/30/2018,10:47:00,FALSE,FALSE,495,FALSE,FALSE,1068434167405453312^0^False^'here's how corporate boards can be more proactive mitigating cyberrisks from @harrybroadman  via @forbes'^2018-11-30^09:18:50^False^False^1837^False^False
1068456508311130000,2,FALSE,rt @patriotnews: patriot one martin cronin stated in the company update yesterday that international defence contractor wants deal closed,11/30/2018,10:47:37,None,FALSE,135,FALSE,FALSE,
